City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
111,Urubicha,BO,2021-03-20 05:11:53,-15.3833,-62.95,68.9,96,42,0.94
112,Mecca,SA,2021-03-20 05:08:58,21.4267,39.8261,79.41,34,0,4.83
113,Oktyabrskoye,RU,2021-03-20 05:11:54,43.0645,44.7417,41.0,81,40,8.95
114,Esmeraldas,BR,2021-03-20 05:11:54,-19.7625,-44.3139,69.8,78,0,8.05
115,Bathsheba,BB,2021-03-20 05:11:54,13.2167,-59.5167,77.0,65,75,10.36
116,Santa Rosa,PH,2021-03-20 05:08:58,14.3122,121.1114,91.4,58,40,5.75
117,Collierville,US,2021-03-20 05:11:54,35.042,-89.6645,48.99,61,90,5.75
118,Marawi,PH,2021-03-20 05:11:55,7.9986,124.2928,84.0,81,99,7.0
119,Grand Gaube,MU,2021-03-20 05:11:55,-20.0064,57.6608,82.99,74,13,11.99
120,Saldanha,ZA,2021-03-20 05:11:55,-33.0117,17.9442,57.2,88,17,8.05
121,Coihaique,CL,2021-03-20 05:11:56,-45.5752,-72.0662,48.04,97,100,7.0
122,Itarema,BR,2021-03-20 05:11:56,-2.9248,-39.9167,75.83,89,0,5.79
123,Pita,GN,2021-03-20 05:11:56,10.8333,-12.5833,69.89,56,29,2.15
124,Krutinka,RU,2021-03-20 05:11:57,56.0055,71.5113,28.99,89,100,13.29
125,Hit,IQ,2021-03-20 05:11:57,33.6416,42.8251,61.63,40,0,4.9
126,Punta Arenas,CL,2021-03-20 05:11:57,-53.15,-70.9167,41.0,81,0,27.63
127,Lucea,JM,2021-03-20 05:11:57,18.451,-78.1736,77.0,78,20,3.44
128,Bara,NG,2021-03-20 05:11:58,10.3744,10.7288,76.78,68,95,6.4
129,Mutis,CO,2021-03-20 05:11:58,6.2262,-77.4044,77.7,87,100,4.74
130,Caravelas,BR,2021-03-20 05:11:58,-17.7125,-39.2481,74.61,89,61,2.98
131,Liepaja,LV,2021-03-20 05:11:59,56.5419,21.0367,19.4,93,90,2.3
132,Beloha,MG,2021-03-20 05:11:59,-25.1667,45.05,81.34,59,0,4.94
133,Somerset,US,2021-03-20 05:11:59,40.5668,-74.5496,33.01,55,1,3.44
134,Bad Hall,AT,2021-03-20 05:11:59,48.0383,14.2077,30.2,80,75,6.91
135,East London,ZA,2021-03-20 05:12:00,-33.0153,27.9116,66.2,100,90,8.05
136,Cayenne,GF,2021-03-20 05:12:00,4.9333,-52.3333,79.0,94,40,5.7
137,Tirumullaivasal,IN,2021-03-20 05:12:00,11.2333,79.8333,85.33,58,19,2.1
138,Sao Filipe,CV,2021-03-20 05:12:01,14.8961,-24.4956,70.83,74,26,4.59
139,Tabas,IR,2021-03-20 05:12:01,33.5959,56.9244,70.0,14,57,13.96
140,Alingsas,SE,2021-03-20 05:12:01,57.9303,12.5335,34.0,75,90,8.05
141,Warrenton,ZA,2021-03-20 05:12:01,-28.114,24.8475,68.59,41,66,8.75
142,Hambantota,LK,2021-03-20 05:12:02,6.1241,81.1185,82.4,83,90,4.61
143,Garbolovo,RU,2021-03-20 05:12:02,60.3413,30.4955,18.0,79,27,3.0
144,Mitsamiouli,KM,2021-03-20 05:12:02,-11.3847,43.2844,83.71,73,84,5.19
145,Tougan,BF,2021-03-20 05:12:02,13.0667,-3.0667,78.19,13,53,7.34
146,Aracaju,BR,2021-03-20 05:07:46,-10.9111,-37.0717,80.6,74,20,9.22
147,Zhezkazgan,KZ,2021-03-20 05:12:03,47.8043,67.7144,33.8,93,75,13.42
