City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
110,Monrovia,LR,6.3005,-10.7969,77.0,83,75,7.52,broken clouds
111,Saint-Pierre,RE,-21.3393,55.4781,78.8,78,20,4.61,few clouds
112,Saint-Georges,GD,12.0564,-61.7485,80.6,78,75,23.02,broken clouds
113,Saint Anthony,US,45.0205,-93.218,59.0,28,1,4.61,clear sky
114,Grindavik,IS,63.8424,-22.4338,35.6,75,75,32.21,broken clouds
115,Tourlaville,FR,49.6383,-1.5664,48.0,87,0,1.14,clear sky
116,Jardim,BR,-21.4803,-56.1381,84.11,58,93,5.91,overcast clouds
117,Rio Blanco,MX,18.8333,-97.15,84.22,32,10,2.39,clear sky
118,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.0,58,0,16.11,clear sky
119,Camacha,PT,33.0833,-16.3333,59.0,67,40,6.91,scattered clouds
120,San Cristobal,VE,7.7669,-72.225,82.4,65,75,8.05,broken clouds
121,Quimper,FR,48.0,-4.1,41.0,93,0,6.91,clear sky
122,Okahandja,NA,-21.9833,16.9167,69.01,73,63,3.44,light rain
123,Garowe,SO,8.4054,48.4845,71.2,57,18,12.28,few clouds
124,Santa Maria Da Vitoria,BR,-13.3947,-44.1886,85.19,34,98,3.36,overcast clouds
125,Wiwili,NI,13.6268,-85.8254,78.8,50,40,4.61,scattered clouds
126,Kalevala,RU,65.2,31.1667,6.51,97,36,3.65,scattered clouds
127,Veraval,IN,20.9,70.3667,76.44,75,0,7.4,clear sky
128,Namibe,AO,-15.1961,12.1522,71.96,80,99,8.72,overcast clouds
129,Touros,BR,-5.1989,-35.4608,82.4,78,40,14.97,scattered clouds
130,Georgetown,MY,5.4112,100.3354,82.99,73,20,2.3,few clouds
131,Colares,PT,38.7992,-9.4469,57.2,54,0,13.8,clear sky
132,Ndjole,GA,-0.1783,10.7649,73.92,97,88,1.88,overcast clouds
133,Wrzesnia,PL,52.3251,17.5652,37.99,53,100,3.0,overcast clouds
134,Yar-Sale,RU,66.8333,70.8333,-10.14,100,100,5.23,overcast clouds
135,Malindi,KE,-3.2175,40.1191,82.4,74,1,11.5,clear sky
136,Tabas,IR,33.5959,56.9244,64.83,17,0,3.36,clear sky
137,Chuy,UY,-33.6971,-53.4616,70.34,64,89,9.57,overcast clouds
138,Vila Franca Do Campo,PT,37.7167,-25.4333,59.0,82,75,6.91,broken clouds
139,Opuwo,NA,-18.0607,13.84,75.54,64,100,2.75,overcast clouds
140,Nanortalik,GL,60.1432,-45.2371,26.46,69,100,14.14,overcast clouds
141,Henties Bay,NA,-22.116,14.2845,63.0,89,0,3.0,clear sky
142,Bud,US,39.447,-86.1758,64.99,50,100,9.69,overcast clouds
143,Dudinka,RU,69.4058,86.1778,5.86,95,100,7.2,light snow
144,Awjilah,LY,29.1081,21.2869,62.98,61,38,26.51,scattered clouds
145,Naantali,FI,60.4674,22.0243,32.0,93,75,1.14,broken clouds
146,Krasnoselkup,RU,65.7,82.4667,1.71,95,100,8.68,overcast clouds
147,Dolores,AR,-36.3132,-57.6792,73.13,48,38,8.32,scattered clouds
148,La Suiza,CR,9.8524,-83.6133,80.6,50,75,11.5,broken clouds
149,Necochea,AR,-38.5473,-58.7368,69.01,57,78,3.0,broken clouds
150,Plataresti,RO,44.35,26.3667,37.99,92,100,1.01,overcast clouds
151,Grand-Santi,GF,4.25,-54.3833,77.72,94,92,3.89,light rain
152,Pisco,PE,-13.7,-76.2167,77.0,57,45,27.63,scattered clouds
153,Huarmey,PE,-10.0681,-78.1522,77.2,72,22,12.68,few clouds
154,Sol-Iletsk,RU,51.1631,54.9918,15.06,98,35,5.53,scattered clouds
155,Ponta Delgada,PT,37.7333,-25.6667,59.0,82,75,6.91,broken clouds
156,Rawson,AR,-43.3002,-65.1023,82.36,20,2,11.63,clear sky
157,Muzhi,RU,65.3667,64.6667,16.45,96,98,5.86,overcast clouds
158,Haileybury,CA,47.449,-79.6373,60.8,33,75,23.02,broken clouds
159,Menongue,AO,-14.6585,17.691,64.42,92,84,3.56,broken clouds
160,Camana,PE,-16.6228,-72.7111,73.98,75,98,9.15,overcast clouds
161,Tunduma,TZ,-9.3,32.7667,58.75,92,100,1.19,light rain
162,Tazovskiy,RU,67.4667,78.7,1.18,96,100,5.73,overcast clouds
163,Natal,BR,-5.795,-35.2094,84.2,70,40,12.66,scattered clouds
164,Toccoa,US,34.5773,-83.3324,69.8,28,1,8.05,clear sky
165,Kalmunai,LK,7.4167,81.8167,78.87,79,92,1.95,overcast clouds
166,Santa Maria,BR,-29.6842,-53.8069,78.8,69,40,13.8,scattered clouds
167,Torbay,CA,47.6666,-52.7314,46.4,46,40,20.71,scattered clouds
168,Victoria,HK,22.2855,114.1577,64.99,67,95,13.04,overcast clouds
169,Lons-Le-Saunier,FR,46.75,5.75,42.01,75,9,1.99,clear sky
170,Cozumel,MX,20.5083,-86.9458,80.6,57,75,11.5,broken clouds
171,Rozkishne,UA,48.5074,39.3004,38.55,60,100,3.62,light rain
172,Jipijapa,EC,-1.3333,-80.5833,84.2,70,20,6.91,few clouds
173,Alto Araguaia,BR,-17.3147,-53.2153,80.67,62,64,5.23,broken clouds
174,Abu Dhabi,AE,24.4667,54.3667,73.4,56,0,4.18,clear sky
175,Murgab,TM,37.4966,61.9714,57.2,54,75,13.8,broken clouds
